mb_2016_code,year,median_price,sales_count,median_price_growth_yoy
10416770000,2003,1400000.0,3,
10416770000,2012,3710000.0,3,165.0
10416780000,2003,1420000.0,3,
10416780000,2009,1671250.0,4,17.69
10416820000,2009,1715000.0,3,
10421090000,2008,1025000.0,3,
10421190000,2006,1177500.0,4,
10421220000,2010,478500.0,4,
10421220000,2013,825000.0,3,72.41
10421240000,2006,960000.0,3,
10421290000,2012,625500.0,3,
10421310000,2018,1138000.0,3,
10421330000,2004,387000.0,3,
10421330000,2016,925000.0,3,139.02
10421350000,2021,3760000.0,3,
10421370000,2006,1300000.0,3,
10421390000,2007,320000.0,3,
10421400000,2005,580000.0,3,
10421400000,2006,880000.0,3,51.72
10421400000,2007,685000.0,3,-22.16
10421400000,2008,1400000.0,5,104.38
10421400000,2013,980000.0,3,-30.0
10421440000,2007,415000.0,3,
10421450000,2003,422500.0,4,
10421450000,2005,435000.0,3,2.96
10421502000,2013,2600000.0,3,
10421512000,2013,1100000.0,3,
10421610000,2004,615000.0,3,
10421610000,2005,850000.0,3,38.21
10421640000,2007,1110000.0,3,
10421650000,2006,1200000.0,3,
10421720000,2021,4351000.0,3,
10421740000,2003,1160000.0,3,
10421740000,2006,1350000.0,5,16.38
10421780000,2007,1363000.0,3,
10421780000,2016,2720000.0,3,99.56
10421810000,2013,2850000.0,3,
10421870000,2005,830000.0,3,
10421870000,2010,847000.0,3,2.05
10421880000,2010,1354500.0,3,
10421890000,2005,1047500.0,4,
10421900000,2004,920000.0,3,
10421900000,2007,1000000.0,3,8.7
10421930000,2006,1164000.0,6,
10421930000,2009,1147500.0,4,-1.42
10421950000,2003,800000.0,3,
10838820000,2007,850000.0,3,
10838880000,2009,800000.0,3,
10838890000,2006,900000.0,3,
10838960000,2006,982500.0,4,
10838960000,2007,1500000.0,3,52.67
10839000000,2005,1450000.0,4,
10839070000,2003,1070000.0,3,
10839070000,2007,687500.0,3,-35.75
10839070000,2009,968750.0,4,40.91
10839090000,2006,1078500.0,3,
10840270000,2004,345500.0,3,
10840312000,2013,1410000.0,3,
10840330000,2009,1150000.0,3,
10840351000,2004,1085000.0,3,
10840351000,2016,2067000.0,3,90.51
10840380000,2003,702500.0,4,
10840380000,2005,560000.0,3,-20.28
10840380000,2006,813000.0,4,45.18
10840390000,2018,4000000.0,3,
10840640000,2008,76000.0,17,
10840640000,2010,83250.0,8,9.54
10840640000,2011,106250.0,12,27.63
10840640000,2012,101750.0,10,-4.24
10840640000,2013,798000.0,8,684.28
10840640000,2014,808500.0,6,1.32
10840640000,2015,162250.0,4,-79.93
10840640000,2016,950000.0,3,485.52
10840640000,2017,138818.0,8,-85.39
10840640000,2018,200750.0,6,44.61
10840640000,2019,1518000.0,5,656.16
10840640000,2021,323250.0,6,-78.71
10840640000,2022,1900000.0,7,487.78
10840640000,2023,363000.0,7,-80.89
10840650000,2003,895000.0,4,
10840660000,2004,650000.0,3,
10840660000,2005,622000.0,27,-4.31
10840660000,2006,728500.0,6,17.12
10840660000,2007,13200.0,13,-98.19
10840660000,2008,700000.0,6,5203.03
10840660000,2009,302500.0,5,-56.79
10840660000,2010,930000.0,3,207.44
10840660000,2011,535000.0,15,-42.47
10840660000,2012,495000.0,11,-7.48
10840660000,2013,620000.0,15,25.25
10840660000,2014,509250.0,4,-17.86
10840660000,2015,1150000.0,6,125.82
10840660000,2016,792000.0,3,-31.13
10840660000,2017,3200000.0,8,304.04
10840660000,2018,1250000.0,8,-60.94
10840660000,2019,610000.0,3,-51.2
10840660000,2025,1750000.0,3,186.89
10841790000,2008,898413.0,4,
10841790000,2011,984000.0,3,9.53
10841840000,2004,900000.0,3,
10841850000,2003,1837500.0,4,
10841870000,2005,1200000.0,5,
10841890000,2007,1125000.0,3,
10841890000,2008,1450000.0,3,28.89
10841890000,2016,1800000.0,3,24.14
10841920000,2005,642000.0,3,
10841920000,2013,850000.0,3,32.4
10842000000,2007,1230000.0,3,
10842000000,2012,1120000.0,3,-8.94
10842080000,2014,1102550.0,3,
10842100000,2007,1320500.0,4,
10842170000,2004,400000.0,3,
10842170000,2006,842500.0,3,110.63
10842170000,2008,460000.0,3,-45.4
10842170000,2010,1360000.0,3,195.65
10842170000,2018,1880000.0,3,38.24
10842220000,2013,660000.0,3,
10842310000,2011,1515000.0,3,
10842310000,2016,2565000.0,3,69.31
10842320000,2003,11860000.0,4,
10842320000,2007,1260000.0,3,-89.38
10842340000,2004,680000.0,3,
10842350000,2005,710000.0,5,
10842350000,2009,1142750.0,4,60.95
10842400000,2009,1760000.0,3,
10842420000,2012,1000000.0,3,
10842480000,2012,1915394.0,3,
10842500000,2006,822500.0,4,
10842500000,2016,2550000.0,3,210.03
10842510000,2003,650000.0,3,
10842630000,2006,953888.0,3,
10842630000,2009,820000.0,3,-14.04
10842670000,2003,1000000.0,3,
10842670000,2006,1350000.0,3,35.0
10842801000,2007,1425000.0,3,
10842801000,2021,4300000.0,3,201.75
10842870000,2003,1070000.0,4,
10842870000,2013,1475000.0,3,37.85
10842901000,2008,1220000.0,5,
10842902000,2004,835000.0,3,
10842941000,2005,1230000.0,3,
10842980000,2004,2455000.0,4,
10842980000,2005,2733000.0,5,11.32
10842980000,2007,4000000.0,3,46.36
10843010000,2006,4200000.0,3,
10843010000,2013,3840000.0,3,-8.57
10843030000,2005,1850000.0,3,
10843030000,2007,1780000.0,3,-3.78
10843040000,2003,1300000.0,3,
10843120000,2006,1900000.0,3,
10843120000,2009,1399000.0,3,-26.37
10843120000,2011,1480000.0,3,5.79
10843130000,2009,1840000.0,3,
10843171000,2009,1950000.0,3,
10843200000,2009,2150000.0,3,
10843230000,2003,400000.0,5,
10843230000,2013,298000.0,3,-25.5
10843241000,2005,680000.0,3,
10843241000,2021,4150000.0,3,510.29
10843242000,2009,1960000.0,3,
10843291000,2005,3212500.0,4,
10843291000,2007,2110000.0,3,-34.32
10843321000,2003,1300000.0,3,
10843321000,2012,1679000.0,3,29.15
10843321000,2017,3680000.0,3,119.18
10843480000,2009,1380000.0,3,
10843510000,2003,1175000.0,4,
10843510000,2004,888750.0,4,-24.36
10843510000,2005,1307500.0,4,47.12
